Name,MinLon,MinLat,MaxLon,MaxLat,EarliestDate,LatestDate
Judah,30,25,40.0,35,931 BCE,582 BCE
Judah Tributary,30,25,40.0,35,794 BCE,736 BCE
Jun,105,30,115.0,35,770 BCE,611 BCE
Kaccha,65,20,75.0,25,610 BCE,317 BCE
Kadmuhu,35,35,45.0,40,1135 BCE,1111 BCE
Kalama,80,25,85.0,30,610 BCE,518 BCE
Kalasma,35,35,40.0,40,1324 BCE,1321 BCE
Kalaurian Amphictiony,20,35,25.0,40,670 BCE,494 BCE
Kalinga,80,15,90.0,25,700 BCE,1 BCE
Kamarina,10,35,15.0,40,466 BCE,405 BCE
Kamboja,65,30,75.0,40,700 BCE,535 BCE
Kappadokia,30,35,42.0,45,330 BCE,1 BCE
Karakhar,45,30,50.0,35,2072 BCE,1168 BCE
Karalla,45,35,50.0,40,717 BCE,706 BCE
Karmania,50,25,65.0,35,329 BCE,325 BCE
Karusha,80,20,85.0,25,610 BCE,301 BCE
Kasheyas,80,20,85.0,30,364 BCE,363 BCE
Kasi,80,20,85.0,30,850 BCE,565 BCE
Kaskas,30,35,42.0,45,1600 BCE,711 BCE
Kasmira,70,30,80.0,40,500 BCE,1 BCE
Kassites,35,25,55.0,40,2100 BCE,1157 BCE
Kazakhstan,40,40,90.0,60,1990 CE,present
Kekaya,70,30,75.0,35,950 BCE,516 BCE
Kenya,30,-5,45.0,10,1990 CE,present
Khoisan Peoples,10,-35,45.0,5,2400 BCE,1 BCE
Khorasmia,54,35,66.0,45,329 BCE,1 BCE
Kimash,45,30,50.0,35,1752 BCE,1600 BCE
Kingdom of Adab,35,25,55.0,40,2353 BCE,2253 BCE
Kingdom of Adanaya,30,35,40.0,40,1850 BCE,1518 BCE
Kingdom of Akshak,35,30,50.0,40,2371 BCE,2283 BCE
Kingdom of Alakhtum,35,35,40.0,40,2217 BCE,2199 BCE
Kingdom of Andarig,40,35,45.0,40,1825 BCE,1726 BCE
Kingdom of Argos,20,35,25.0,40,780 BCE,494 BCE
Kingdom of Armenia,35,35,50.0,45,323 BCE,1 BCE
Kingdom of Arrapha,40,35,50.0,40,1726 BCE,760 BCE
Kingdom of Assyria,30,30,50.0,45,1920 BCE,894 BCE
Kingdom of Awan,45,25,55.0,35,2286 BCE,1169 BCE
Kingdom of Babylon,35,25,50.0,40,1897 BCE,482 BCE
Kingdom of Carchemish,35,35,40.0,40,1190 BCE,605 BCE
Kingdom of Cyrene,5,30,30.0,40,632 BCE,1 BCE
Kingdom of Der,40,30,50.0,35,2075 BCE,1227 BCE
Kingdom of Ebla,35,30,45.0,40,2380 BCE,2000 BCE
Kingdom of Epirus,10,35,30.0,45,330 BCE,1 BCE
Kingdom of Eshnunna,40,30,50.0,40,2026 BCE,1730 BCE
Kingdom of Hamath,35,30,40.0,40,1180 BCE,605 BCE
Kingdom of Illyria,15,35,25.0,45,399 BCE,1 BCE
Kingdom of Irqata,35,30,40.0,40,2279 BCE,2198 BCE
Kingdom of Isin,40,25,55.0,40,2017 BCE,1794 BCE
Kingdom of Israel,30,25,40.0,35,1035 BCE,880 BCE
Kingdom of Judah,30,30,40.0,35,1004 BCE,964 BCE
Kingdom of Kanesh,30,35,40.0,45,1850 BCE,1617 BCE
Kingdom of Kazallu,40,30,50.0,35,2019 BCE,1789 BCE
Kingdom of Kish,35,30,50.0,40,2380 BCE,1838 BCE
Kingdom of Kisurra,45,30,50.0,35,2138 BCE,2112 BCE
Kingdom of Kummuh,35,35,40.0,40,1190 BCE,607 BCE
Kingdom of Kush,25,15,40.0,35,1775 BCE,1 BCE
Kingdom of Kussara,30,35,40.0,45,1800 BCE,1675 BCE
Kingdom of Lagash,45,30,55.0,35,2339 BCE,1920 BCE
Kingdom of Larsa,40,30,50.0,35,2270 BCE,1736 BCE
Kingdom of Lysimakhos,18,35,36.0,50,305 BCE,278 BCE
Kingdom of Macedon,15,20,80.0,50,650 BCE,294 BCE
Kingdom of Macedonia,18,35,30.0,45,277 BCE,1 BCE
Kingdom of Malgium,40,30,50.0,35,1935 BCE,1845 BCE
Kingdom of Mari,35,30,50.0,40,2397 BCE,2190 BCE
Kingdom of Melid,35,35,40.0,40,1190 BCE,625 BCE
Kingdom of Mitanni,30,30,50.0,40,1585 BCE,1289 BCE
Kingdom of Purushanda,30,35,40.0,40,1775 BCE,1626 BCE
Kingdom of Qadesh,35,30,40.0,40,1362 BCE,1336 BCE
Kingdom of Qatna,35,30,40.0,40,1930 BCE,1444 BCE
Kingdom of Rome,12,40,18.0,45,725 BCE,509 BCE
Kingdom of Sam'al,35,35,40.0,40,920 BCE,604 BCE
Kingdom of Sindica,36,40,42.0,50,480 BCE,380 BCE
Kingdom of Sparta,10,30,30.0,45,777 BCE,1 BCE
Kingdom of Syracuse,10,35,25.0,45,304 BCE,289 BCE
Kingdom of Terqa,35,30,45.0,40,1741 BCE,1512 BCE
Kingdom of Tuttul,35,35,45.0,40,2380 BCE,2196 BCE
Kingdom of Tylis,24,40,30.0,45,277 BCE,1 BCE
Kingdom of Ugarit,35,35,40.0,40,2348 BCE,1336 BCE
Kingdom of Ur,40,25,55.0,40,2279 BCE,2005 BCE
Kingdom of Uruk,35,30,50.0,40,2394 BCE,1809 BCE
Kingdom of Zalpa,30,35,42.0,45,1950 BCE,1632 BCE
Kingdom of the Grabaei,18,40,24.0,45,429 BCE,295 BCE
Kios,24,40,30.0,45,274 BCE,1 BCE
Kirati,80,25,90.0,30,610 BCE,1 BCE
Kiribati,-175,-15,180.0,5,1990 CE,present
Kirruru,40,35,50.0,40,735 BCE,707 BCE
Kizzuwatna,30,35,40.0,40,1514 BCE,1419 BCE
Koliya,80,25,85.0,30,610 BCE,480 BCE
Konkana,70,15,75.0,20,610 BCE,1 BCE
Kopai,20,35,25.0,40,386 BCE,378 BCE
Koreans,125,30,130.0,40,2400 BCE,1 BCE
Kosala,80,20,85.0,30,950 BCE,465 BCE
Kotosh Culture,-80,-15,-75.0,-5,2300 BCE,1199 BCE
Ksudrakas,70,30,75.0,35,610 BCE,325 BCE
Kuai,110,30,115.0,35,770 BCE,769 BCE
Kui,110,30,115.0,35,770 BCE,634 BCE
Kuninda,75,30,80.0,35,450 BCE,322 BCE
Kuntala,75,15,80.0,20,600 BCE,300 BCE
Kunti,75,25,80.0,30,610 BCE,535 BCE
Kunwu,110,35,115.0,40,1750 BCE,1603 BCE
Kuru,70,25,85.0,35,1150 BCE,500 BCE
Kush Tributary,25,25,35.0,35,726 BCE,667 BCE
Kuwait,45,25,50.0,35,1990 CE,present
Kyme,12,40,18.0,45,500 BCE,1 BCE
Kyrgyzstan,65,35,84.0,45,1990 CE,present
Lagash,40,30,50.0,35,2397 BCE,2352 BCE
Lai,115,35,125.0,40,1039 BCE,567 BCE
Lai(2),110,30,115.0,35,770 BCE,640 BCE
Laiyi,115,35,125.0,40,770 BCE,500 BCE
Land of Bel-harran-beli-user,35,35,45.0,40,753 BCE,744 BCE
Land of Shamash-resha-user,35,30,45.0,40,753 BCE,744 BCE
Land of Tartanu Shamshi-ilu,35,35,40.0,40,753 BCE,744 BCE
Laos,100,10,110.0,25,1990 CE,present
Laqe,35,30,45.0,40,1080 BCE,608 BCE
Larak,40,30,50.0,35,2394 BCE,2283 BCE
Larissa,20,35,25.0,40,405 BCE,344 BCE
Latin League,12,40,18.0,45,730 BCE,341 BCE
Latins,12,40,18.0,45,800 BCE,377 BCE
Latvia,16,55,32.0,60,1990 CE,present
Lauhitya,90,25,95.0,30,610 BCE,1 BCE
League of Argos,18,35,30.0,45,421 BCE,417 BCE
Lebadeia,20,35,25.0,40,386 BCE,378 BCE
Lebanon,35,30,40.0,35,1990 CE,present
Leichtenstein,6,45,12.0,50,1990 CE,present
Leontini,10,35,20.0,40,466 BCE,1 BCE
Lesbos,25,35,30.0,40,386 BCE,1 BCE
Lesotho,25,-35,30.0,-25,1990 CE,present
Li,115,30,120.0,35,770 BCE,538 BCE
Li Rong,110,35,115.0,40,770 BCE,672 BCE
Li(2),110,35,115.0,40,770 BCE,663 BCE
Li(3),110,30,115.0,35,697 BCE,680 BCE
Liang,105,30,115.0,40,771 BCE,641 BCE
Liao,115,30,120.0,35,770 BCE,622 BCE
Liao(2),110,30,115.0,35,770 BCE,700 BCE
Liberia,-15,0,-5.0,10,1990 CE,present
Liburnians,12,40,24.0,45,1000 BCE,1 BCE
Libya,5,15,30.0,35,1990 CE,present
Libyans,10,25,35.0,35,2400 BCE,1 BCE
Libyphoenices,10,30,25.0,35,500 BCE,1 BCE
Ligurians,0,40,12.0,50,800 BCE,1 BCE
Lingzhi,114,35,120.0,45,770 BCE,662 BCE
Linhu,102,35,115.0,45,770 BCE,1 BCE
Lithuania,16,50,32.0,60,1990 CE,present
Little Guo,105,30,110.0,35,771 BCE,687 BCE
Liu,115,30,120.0,35,770 BCE,622 BCE
Locri,15,35,20.0,40,345 BCE,1 BCE
Longshan Culture,105,30,125.0,40,2400 BCE,1900 BCE
Loufan,108,35,115.0,45,770 BCE,307 BCE
Lower Macedon,18,40,24.0,45,454 BCE,431 BCE
Lu,115,30,120.0,40,807 BCE,1 BCE
Lu(2),110,30,115.0,35,770 BCE,688 BCE
Lu(3),110,30,115.0,35,770 BCE,690 BCE
Lucani,12,40,18.0,45,500 BCE,436 BCE
Lucanians,12,35,20.0,45,450 BCE,1 BCE
Luhun Rong,105,30,115.0,35,771 BCE,525 BCE
Lukka,25,35,35.0,40,1535 BCE,1235 BCE
Lullubi,40,35,50.0,40,,2050 BCE
Lullubum,40,35,50.0,40,2054 BCE,2051 BCE
Luo,110,25,115.0,35,770 BCE,690 BCE
Luwians,24,35,40.0,45,2022 BCE,1000 BCE
Luxembourg,0,45,12.0,55,1990 CE,present
Lycians,25,35,35.0,40,1000 BCE,362 BCE
Lydia,24,35,36.0,45,850 BCE,547 BCE
Lydians,25,35,30.0,40,1000 BCE,850 BCE
Lynkestis,18,40,24.0,45,540 BCE,392 BCE
Macedon,18,35,30.0,45,281 BCE,277 BCE
Macedonia,18,40,24.0,45,1990 CE,present
Macedonian Ally,12,25,80.0,50,356 BCE,294 BCE
Madagascar,40,-30,55.0,-10,1990 CE,present
Madra,70,30,80.0,35,950 BCE,326 BCE
Maeotians,36,40,42.0,50,380 BCE,325 BCE
Magadha,70,20,90.0,30,775 BCE,355 BCE
Magan,50,20,60.0,30,2400 BCE,1550 BCE
Magnesia,20,35,25.0,40,650 BCE,580 BCE
Malavas,70,30,75.0,35,610 BCE,325 BCE
Malawi,30,-20,40.0,-5,1990 CE,present
Malaysia,95,0,120.0,10,1990 CE,present
Maldives,70,-5,75.0,10,1990 CE,present
Mali,-15,10,5.0,30,1990 CE,present
Malis,20,35,25.0,40,695 BCE,1 BCE
Malla,80,25,90.0,30,750 BCE,363 BCE
Malta,10,35,15.0,40,1990 CE,present
Mama,35,35,40.0,40,1850 BCE,1644 BCE
Mamertine Mercenaries,15,35,20.0,40,289 BCE,287 BCE
Mamertines,10,35,20.0,40,287 BCE,1 BCE
Manchurian Peoples,114,35,144.0,55,2400 BCE,1 BCE
Mannaea,40,35,50.0,40,843 BCE,608 BCE
Manshi,110,30,115.0,35,770 BCE,491 BCE
Mantineia,20,35,25.0,40,423 BCE,1 BCE
Mao,105,30,110.0,35,771 BCE,687 BCE
Mao(2),115,30,120.0,40,770 BCE,560 BCE
Margiana,60,30,70.0,40,522 BCE,328 BCE
Marrucini,12,40,18.0,45,438 BCE,304 BCE
Marshall Islands,160,0,175.0,15,1990 CE,present
Marsi,12,40,18.0,45,492 BCE,304 BCE
Masa,24,35,36.0,45,1535 BCE,1228 BCE
Massagetai,54,35,72.0,50,329 BCE,1 BCE
Matsya,70,25,80.0,30,925 BCE,318 BCE
Mauritania,-20,10,0.0,30,1990 CE,present
Mauritius,55,-25,65.0,-10,1990 CE,present
Maurya,70,25,80.0,35,324 BCE,321 BCE
Maurya Empire,55,10,95.0,40,321 BCE,1 BCE
Maya,-95,10,-85.0,25,1000 BCE,1 BCE
Medes,45,30,55.0,40,800 BCE,674 BCE
Media,30,30,65.0,45,713 BCE,521 BCE
Median Vassal,45,25,65.0,35,586 BCE,550 BCE
Megalopolis,20,35,25.0,40,300 BCE,1 BCE
Megaris,10,35,36.0,45,743 BCE,1 BCE
Mercenaries of Bithynia,24,40,36.0,45,278 BCE,278 BCE
Mercenaries under Agathocles,10,35,20.0,40,325 BCE,316 BCE
Mercenaries under Amyntas,30,25,40.0,35,332 BCE,332 BCE
Mercenaries under Cleonymus,6,35,25.0,50,303 BCE,301 BCE
Mercenaries under Harpalus,20,35,35.0,40,323 BCE,323 BCE
Mercenaries under Leosthenes,20,35,25.0,40,323 BCE,323 BCE
Mercenaries under Phalaecus,20,35,30.0,40,344 BCE,343 BCE
Mercenaries under Thibron,20,30,25.0,40,323 BCE,323 BCE
Mesoamerican Peoples,-105,5,-70.0,25,2400 BCE,1 BCE
Messapians,12,35,24.0,45,800 BCE,1 CE
Messapii,12,35,24.0,45,500 BCE,280 CE
Messenia,15,35,25.0,40,770 BCE,1 BCE
Mexico,-120,10,-85.0,35,1990 CE,present
Mianzhu,105,30,110.0,35,771 BCE,361 BCE
Micronesia,135,5,165.0,15,1990 CE,present
Middle Assyrian Empire,30,30,50.0,40,1346 BCE,1076 BCE
Minoans,20,30,30.0,40,2000 BCE,1479 BCE
Mithila,80,25,90.0,30,364 BCE,363 BCE
Mixtecs,-100,15,-95.0,20,1500 BCE,1 BCE
Moabites,35,30,40.0,35,1280 BCE,587 BCE
Moldova,24,45,36.0,50,1990 CE,present
Molossians,18,40,24.0,45,500 BCE,500 BCE
Molossis,18,35,25.0,45,430 BCE,350 BCE
Mongolia,84,40,120.0,55,1990 CE,present
Moriya,80,25,85.0,30,610 BCE,467 BCE
Morocco,-20,20,0.0,40,1990 CE,present
Mou,115,35,120.0,40,770 BCE,650 BCE
Mozambique,30,-30,45.0,-10,1990 CE,present
Mulaka,70,15,80.0,20,610 BCE,301 BCE
Musasir,40,35,50.0,40,735 BCE,723 BCE
Musicanus,65,25,70.0,30,338 BCE,325 BCE
Musri,35,35,40.0,40,900 BCE,826 BCE
Mutibas,75,15,85.0,20,610 BCE,600 BCE
Mutinous troops,12,40,18.0,45,342 BCE,342 BCE
Myanmar,90,5,105.0,30,1990 CE,present
Mycenaean Kingdoms,20,35,30.0,40,1505 BCE,1202 BCE
Mycenaeans,18,30,30.0,45,1505 BCE,1100 BCE
Mysians,24,35,30.0,45,1000 BCE,542 BCE
Nabataean Kingdom,30,25,45.0,35,331 BCE,1 BCE
Nabataeans,35,25,40.0,35,843 BCE,526 BCE
Nairi,40,35,45.0,40,859 BCE,859 BCE
Namibia,10,-30,30.0,-15,1990 CE,present
Namri,40,30,50.0,40,851 BCE,737 BCE
Nanda Empire,70,15,90.0,35,355 BCE,321 BCE
Nanyan,110,35,115.0,40,770 BCE,640 BCE
Nauru,165,-5,170.0,0,1990 CE,present
Naxos,15,35,20.0,40,466 BCE,403 BCE
Neo Assyrian Empire,25,20,55.0,40,910 BCE,608 BCE
Neo Assyrian Tributary,25,20,55.0,45,896 BCE,612 BCE
Neo Assyrian revolt,35,30,50.0,40,827 BCE,520 BCE
Neo Babylonian Empire,30,20,50.0,40,616 BCE,549 BCE
Neo Babylonian Empire Tributary,30,25,40.0,35,605 BCE,554 BCE
Neo-Assyrian Empire,35,30,50.0,40,906 BCE,608 BCE
Neo-Babylonian Empire,30,20,50.0,40,616 BCE,539 BCE
Nepal,80,25,90.0,35,1990 CE,present
New Hittite Kingdom,24,30,45.0,45,1438 BCE,1190 BCE
New Zealand,-170,-55,186.0,-5,1990 CE,present
Ni,115,30,120.0,40,770 BCE,335 BCE
Nicaragua,-90,10,-80.0,20,1990 CE,present
Niger,0,10,20.0,25,1990 CE,present
Nigeria,0,0,15.0,15,1990 CE,present
Nilotic Peoples,25,0,40.0,15,1000 BCE,1 BCE
Nok People,0,5,15.0,15,1500 BCE,1 BCE
Norte Chico Civilization,-80,-15,-75.0,-5,2400 BCE,1800 BCE
North Arabian Semites,35,25,50.0,35,500 BCE,1 BCE
North Korea,120,35,132.0,45,1990 CE,present
Northern League,24,40,36.0,45,281 BCE,274 BCE
Northern Zone Peoples,105,30,120.0,40,1400 BCE,1000 BCE
Northwest Coast Peoples,-150,40,-120.0,65,2400 BCE,1 BCE
Norway,-15,-55,45.0,85,1990 CE,present
Nu,105,25,110.0,35,770 BCE,600 BCE
Nubia,30,20,35.0,25,1085 BCE,776 BCE
Nubians,30,10,40.0,25,2400 BCE,1 BCE
Nuhashshi,35,35,40.0,40,1351 BCE,1336 BCE
Numidians,-5,30,10.0,40,1000 BCE,1 BCE
Odra,80,20,90.0,25,610 BCE,344 BCE
Odrysia,18,40,30.0,45,359 BCE,1 BCE
Odrysian Kingdom,18,35,30.0,50,475 BCE,341 BCE
Oetaea,20,35,25.0,40,695 BCE,1 BCE
Old Hittite Kingdom,25,30,45.0,45,1759 BCE,1438 BCE
Olmecs,-100,15,-90.0,20,1250 BCE,1 BCE
Oman,50,15,60.0,30,1990 CE,present
Opuntian Locris,20,35,25.0,40,695 BCE,1 BCE
Oreitai,65,20,70.0,30,329 BCE,325 BCE
Orestis,18,40,24.0,45,540 BCE,475 BCE
Oxycanus,65,25,75.0,30,337 BCE,325 BCE
Ozolian Locris,15,35,25.0,40,695 BCE,356 BCE
Paeligni,12,40,18.0,45,438 BCE,304 BCE
Paeonia,18,40,24.0,45,352 BCE,1 BCE
Paeonians,18,40,24.0,45,850 BCE,340 BCE
Paiones,18,40,24.0,45,500 BCE,356 BCE
Pakistan,60,20,80.0,40,1990 CE,present
Pala,30,40,36.0,45,1535 BCE,1381 BCE
Palau,130,0,135.0,10,1990 CE,present
Paleosiberians,64,55,170.0,75,2400 BCE,1 BCE
Pampas Cultures,-75,-50,-50.0,-30,2400 BCE,1 BCE
Pamphylians,30,35,35.0,40,1000 BCE,558 BCE
Panama,-85,5,-75.0,10,1990 CE,present
Panchala,75,25,85.0,35,825 BCE,355 BCE
Pandya,75,5,80.0,15,325 BCE,1 BCE
Paphlagonia,30,35,36.0,45,323 BCE,1 BCE
Papua New Guinea,140,-15,160.0,0,1990 CE,present
Papuans,130,-10,150.0,0,1600 BCE,1 BCE
Paraguay,-65,-30,-50.0,-15,1990 CE,present
Parauaea,18,40,24.0,45,430 BCE,350 BCE
Pardabathra,65,20,70.0,30,338 BCE,325 BCE
Parsua,40,30,50.0,40,860 BCE,744 BCE
Parthia,50,30,65.0,40,522 BCE,521 BCE
Pashime,45,25,55.0,35,2348 BCE,1345 BCE
Patagonian Peoples,-80,-55,-64.0,-40,2400 BCE,1 BCE
Patin (Unqi),35,35,40.0,40,1190 BCE,604 BCE
Paurava,70,30,75.0,35,337 BCE,326 BCE
Pelagonia,18,40,24.0,45,540 BCE,475 BCE
Pelasgians,20,35,30.0,40,2400 BCE,1505 BCE
Peloponnesian League,10,30,40.0,45,445 BCE,394 CE
Peng,110,30,120.0,35,770 BCE,650 BCE
Pengzhi,105,30,115.0,35,771 BCE,697 BCE
Pergamon,25,35,30.0,40,274 BCE,1 BCE
Persia,45,25,65.0,35,653 BCE,550 BCE
Persian Empire,15,20,80.0,50,550 BCE,1 BCE
Persian Revolt,45,25,70.0,35,522 BCE,521 BCE
Persian Vassal,18,35,30.0,45,491 BCE,409 BCE
Peru,-85,-20,-65.0,0,1990 CE,present
Peucetians,12,40,18.0,45,800 BCE,1 BCE
Pharsalos,20,35,25.0,40,405 BCE,375 BCE
Pherae,18,35,25.0,45,405 BCE,344 BCE
Philippines,115,0,130.0,25,1990 CE,present
Philistia,30,30,40.0,35,1020 BCE,604 BCE
Philistines,30,30,40.0,35,1180 BCE,1020 BCE
Phlius,20,35,25.0,40,655 BCE,338 BCE
Phocis,20,35,25.0,40,695 BCE,1 BCE
Phoenicians,-10,30,40.0,40,1180 BCE,344 BCE
Phrygian Kingdom,24,35,36.0,45,1120 BCE,654 BCE
Phrygians,18,35,45.0,45,1223 BCE,585 BCE
Pi,115,30,120.0,35,770 BCE,415 BCE
Piceni,12,40,18.0,45,500 BCE,438 BCE
Picentes,12,40,18.0,45,800 BCE,438 BCE
Picenum,12,40,18.0,45,438 BCE,299 BCE
Ping Zhou,105,30,110.0,35,771 BCE,550 BCE
Pirate Mercenaries,18,35,40.0,45,276 BCE,274 BCE
Pirates,20,35,30.0,40,344 BCE,344 BCE
Pisatis,20,35,25.0,40,684 BCE,572 BCE
Pisidians,30,35,35.0,40,558 BCE,1 BCE
Pitassa,30,35,35.0,40,1545 BCE,1432 BCE
Plains Peoples,-120,25,-90.0,55,2400 BCE,1 BCE
Plateau Peoples,-128,40,-108.0,55,2400 BCE,1 BCE
Plebian secession,12,40,18.0,45,494 BCE,287 BCE
Poland,8,45,32.0,55,1990 CE,present
Pontians,36,40,42.0,45,612 BCE,514 BCE
Pontus,30,35,42.0,45,281 BCE,1 BCE
Portugal,-35,30,-5.0,45,1990 CE,present
Poverty Point Culture,-95,30,-85.0,35,2200 BCE,1 BCE
Praeneste,12,40,18.0,45,359 BCE,341 BCE
Proto-Burmese,90,25,100.0,35,2400 BCE,1 BCE
Proto-Canaanites,30,30,40.0,35,2300 BCE,1850 BCE
Proto-Ethiopians,30,5,45.0,15,2400 BCE,1 BCE
Proto-Greeks,18,35,25.0,45,1950 BCE,1223 BCE
Proto-Mongol Peoples,96,45,120.0,55,2400 BCE,1 BCE
Proto-Tibetans,70,25,100.0,40,2400 BCE,1 BCE
Proto-Turkic Peoples,75,30,114.0,50,2400 BCE,1 BCE
Ptolemaic Ally,20,35,35.0,40,314 BCE,282 BCE
Ptolemaic Kingdom,20,20,40.0,40,305 BCE,1 BCE
Pu,110,35,115.0,40,770 BCE,677 BCE
Pugu,115,35,120.0,40,1036 BCE,1026 BCE
Pulinda,75,20,85.0,25,610 BCE,319 BCE
Pundra,85,20,90.0,30,610 BCE,311 BCE
Punt,35,5,50.0,20,2400 BCE,1100 BCE
Qatar,50,20,55.0,30,1990 CE,present
Qedarite Confederation,35,25,50.0,40,870 BCE,550 BCE
Qedarites,35,25,45.0,35,925 BCE,1 BCE
Qi,110,30,126.0,45,770 BCE,1 BCE
Qi(2),115,35,120.0,40,770 BCE,445 BCE
Qi(3),115,35,120.0,40,770 BCE,706 BCE
Qiang,95,35,105.0,40,771 BCE,1 BCE
Qin,100,25,120.0,40,771 BCE,1 BCE
Qiuyou,110,35,115.0,40,770 BCE,458 BCE
Qu,110,35,115.0,40,770 BCE,677 BCE
Quaman,105,30,115.0,35,770 BCE,611 BCE
Quan,110,30,115.0,35,770 BCE,704 BCE
Quanrong,95,30,115.0,40,1000 BCE,1 BCE
Que,30,35,40.0,40,1180 BCE,588 BCE
Quwo,110,30,115.0,40,745 BCE,678 BCE
Rang,105,25,110.0,35,770 BCE,670 BCE
Rathikas,70,15,75.0,25,321 BCE,300 BCE
Rebel Aranzik,35,35,40.0,40,1695 BCE,1690 BCE
Rebel Irridu,35,35,45.0,40,1717 BCE,1710 BCE
Rebel Israelites,35,30,40.0,35,1097 BCE,1095 BCE
Red Di,110,35,115.0,40,770 BCE,588 BCE
Ren,115,35,120.0,40,770 BCE,335 BCE
Revolt,6,25,125.0,50,552 BCE,1 BCE
Revolt of Antigonus,25,35,35.0,40,321 BCE,321 BCE
Revolt of Antipater,18,35,30.0,45,321 BCE,321 BCE
Revolt of Ariobarzanes,24,35,36.0,45,366 BCE,362 BCE
Revolt of Artabazus,24,35,36.0,45,356 BCE,353 BCE
Revolt of Autophradates,25,35,35.0,40,363 BCE,360 BCE
Revolt of Cyrus the Younger,25,30,45.0,40,401 BCE,401 BCE
Revolt of Datames,30,35,42.0,45,371 BCE,360 BCE
Revolt of Eumenes,24,30,45.0,45,321 BCE,317 BCE
Revolt of Hermias,25,35,30.0,40,345 BCE,342 BCE
Revolt of Hua Clan,115,30,120.0,35,521 BCE,520 BCE
Revolt of Inaros,25,25,35.0,35,462 BCE,449 BCE
Revolt of Khababash,30,30,35.0,35,336 BCE,335 BCE
Revolt of Luan,110,35,115.0,40,551 BCE,550 BCE
Revolt of Lysimachus,18,40,30.0,45,321 BCE,321 BCE
Revolt of Mausolus,25,35,30.0,40,363 BCE,360 BCE
Revolt of Orontes,35,35,50.0,45,363 BCE,360 BCE
Revolt of Pissuthnes,25,35,35.0,40,420 BCE,415 BCE
Revolt of Ptolemy,20,20,35.0,40,321 BCE,321 BCE
Revolt of Wangzi Tui,110,30,115.0,40,675 BCE,673 BCE
Revolt of Wangzi Zhao,110,30,115.0,40,520 BCE,516 BCE
Rhegion,12,35,20.0,45,621 BCE,388 BCE
Rhodos,25,35,30.0,40,319 BCE,1 BCE
Roman Ally,0,35,20.0,45,486 BCE,1 BCE
Roman Latin Colony,12,40,18.0,45,495 BCE,1 BCE
Roman Republic,6,35,24.0,45,509 BCE,280 CE
Romania,18,40,30.0,50,1990 CE,present
Rong,110,30,120.0,40,770 BCE,593 BCE
Rui,105,30,115.0,40,771 BCE,641 BCE
Ruo,110,30,115.0,35,770 BCE,622 BCE
Ruo'ao revolt,110,30,115.0,35,605 BCE,604 BCE
Russia,0,40,195.0,85,1990 CE,present
Rwanda,25,-5,35.0,0,1990 CE,present
Saba,40,10,50.0,20,1100 BCE,1 BCE
Sabines,12,40,18.0,45,800 BCE,438 BCE
Sabini,12,40,18.0,45,438 BCE,290 BCE
Saharan Peoples,-20,15,30.0,35,2400 BCE,1 BCE
Sakas,48,35,96.0,55,750 BCE,1 BCE
Sakya,80,25,85.0,30,750 BCE,480 BCE
Salamis,30,30,40.0,40,411 BCE,380 BCE
Salva,75,25,80.0,30,610 BCE,600 BCE
Salwa,70,25,75.0,30,610 BCE,322 BCE
Sambus,65,20,75.0,35,329 BCE,325 BCE
Samian Thalassocracy,20,35,30.0,40,542 BCE,522 BCE
Samnite Ally,12,40,24.0,45,326 BCE,304 BCE
Samnite Confederation,12,40,18.0,45,438 BCE,1 BCE
Samnites,12,40,18.0,45,800 BCE,438 BCE
Samnium,12,40,18.0,45,500 BCE,438 BCE
Samoa,-175,-15,-170.0,-10,1990 CE,present
Samos,25,35,30.0,40,386 BCE,323 BCE
San Marino,12,40,18.0,45,1990 CE,present
Sanxingdui Culture,100,25,110.0,35,1700 BCE,1000 BCE
Sardinians,5,35,12.0,45,1250 BCE,510 BCE
Sattagydia,65,30,75.0,35,610 BCE,516 BCE
Sattyaputas,70,10,80.0,15,325 BCE,1 BCE
Saudi Arabia,30,15,60.0,35,1990 CE,present
Saurashtra,65,20,75.0,25,610 BCE,317 BCE
Sauromatians,36,40,64.0,55,550 BCE,1 BCE
Sauvira,65,25,70.0,30,610 BCE,515 BCE
Savanna Peoples,-70,-35,-35.0,0,2400 BCE,1 BCE
Savaras,80,15,85.0,20,610 BCE,430 BCE
Scythia,24,30,55.0,50,678 BCE,1 BCE
Scythians,24,35,96.0,55,1201 BCE,1 BCE
Sea Peoples,20,30,40.0,45,1303 BCE,1180 BCE
Sealand,40,30,50.0,35,1734 BCE,1438 BCE
Second Athenian League,15,35,36.0,45,386 BCE,338 BCE
Seleucid Ally,24,35,36.0,45,282 BCE,1 BCE
Seleucid Kingdom,24,25,75.0,45,305 BCE,1 BCE
Semitic Nomads,35,15,60.0,35,2400 BCE,1000 BCE
Senegal,-20,10,-10.0,20,1990 CE,present
Seychelles,45,-15,60.0,0,1990 CE,present
Shang,105,30,125.0,40,1750 BCE,1103 BCE
Shang Dynasty,100,25,125.0,45,1600 BCE,1043 BCE
Shanrong,114,35,120.0,45,770 BCE,282 BCE
Shao,105,30,110.0,35,771 BCE,687 BCE
Shen,105,30,115.0,40,771 BCE,507 BCE
Shen(2),110,30,120.0,35,770 BCE,506 BCE
Shi,115,30,120.0,40,770 BCE,560 BCE
